id,style,num_blocks,title_font_size,title_box_area,text_overlap_px,min_text_margin
album_static,handmade_marker,3,124,0.1755,0,83
architecture_lecture,brutalist_type,3,87,0.0884,0,40
bike_commute,classic_travel,3,137,0.0917,0,117
boardgame_night,retro_pop,3,102,0.1037,0,139
book_orbit,editorial_serif,3,82,0.0927,0,112
charity_run,sport,3,150,0.1315,0,72
climate_workshop,clean_corporate,3,112,0.125,0,97
coffee_roast,premium_ad,3,69,0.0735,0,34
concert_neon,neon,3,114,0.1755,0,59
cookbook_cover,script_invite,3,72,0.084,0,108
education_space,modern_minimal,3,100,0.0795,0,112
farmers_market,organic_market,3,100,0.1285,0,86
fashion_atelier,luxury_fashion,3,161,0.1755,0,74
fitness_launch,sport,3,150,0.1315,0,128
food_ramen,organic_market,3,70,0.0697,0,81
game_launch,cinematic,3,150,0.1315,0,85
jazz_blue_note,neon,3,96,0.1755,0,70
movie_solar,cinematic,3,138,0.1285,0,86
museum_bauhaus,bauhaus,3,114,0.1078,0,183
photo_exhibit,bauhaus,3,114,0.1078,0,76
skincare_lumina,luxury_fashion,3,132,0.1078,0,99
tea_ceremony,script_invite,3,86,0.1078,0,123
tech_summit,brutalist_type,3,114,0.125,0,96
travel_iceland,classic_travel,3,159,0.1285,0,92
