id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5000347892443339,0.9998421352259703
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.49501006801923114,0.9997767654206594
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.5867758790651957,0.9947003016979986
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.5028455754121145,1.0000000000000016
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.533232569694519,0.9999894257975673
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.37683622042338055,1.0
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.5178605119387308,0.9999999999999999
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.4667649269104004,0.9999999999999997
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.5552476147810618,1.0
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.5106504261493683,0.9998582498863322
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.32401547332604724,0.9998859211083972
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.5024586220582327,0.9999910373410698
farmers_market,1.0,0.0,nan,0.0,0.0,1.0,0.5751420458157858,0.9987705250490417
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.5689985652764639,1.0
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.5793489913145701,0.9999999999999999
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.596360425154368,0.9957668838560105
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.45464908083279926,1.0
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.4259657561779022,0.9973686303480712
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6352188388506571,0.9999263352021022
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.42512012521425885,0.9999999999999993
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.6529399951299032,1.0000000000000002
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.6114577452341715,0.9999999999999998
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.5608326693375906,1.0000000000000007
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.42798856894175213,1.0
