id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim
travel_iceland,1.0,0.6666666666666666,0.0,0.6,0.125,1.0,0.6645691593488058,1.0000000000000004
movie_solar,1.0,0.3333333333333333,0.0,1.0,0.25,1.0,0.5611397325992584,1.0000000000000016
coffee_roast,1.0,0.3333333333333333,0.0,0.8888888888888888,0.0,1.0,0.6915548841158549,1.0000000000000002
museum_bauhaus,1.0,0.6666666666666666,0.0,1.0,0.1111111111111111,1.0,0.2511438230673472,1.0000000000000007
concert_neon,1.0,1.0,0.0,1.0,0.2222222222222222,1.0,0.6230841676394144,1.0000000000000004
book_orbit,1.0,0.6666666666666666,0.0,0.5555555555555555,0.14285714285714285,1.0,0.5674640536308289,1.0000000000000007
food_ramen,1.0,1.0,0.0,0.8333333333333334,0.14285714285714285,1.0,0.7264724373817444,0.9999999999999997
tech_summit,1.0,0.0,0.0,0.8888888888888888,0.14285714285714285,1.0,0.6319215496381124,1.0
fitness_launch,1.0,1.0,0.0,0.8333333333333334,0.0,1.0,0.6818717122077942,1.0000000000000007
education_space,1.0,0.3333333333333333,0.0,0.5555555555555555,0.125,1.0,0.6197890440622965,1.0000000000000004
