id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim
travel_iceland,1.0,nan,nan,nan,0.0,1.0,0.5680846373240153,nan
movie_solar,1.0,nan,nan,nan,0.0,1.0,0.5414533217748007,nan
coffee_roast,1.0,nan,nan,nan,0.0,1.0,0.5797213514645895,nan
museum_bauhaus,1.0,nan,nan,nan,0.0,1.0,0.4939759572347005,nan
concert_neon,1.0,nan,nan,nan,0.0,1.0,0.5321556131045023,nan
book_orbit,1.0,nan,nan,nan,0.0,1.0,0.32544152935345966,nan
food_ramen,1.0,nan,nan,nan,0.0,1.0,0.49883689483006793,nan
tech_summit,1.0,nan,nan,nan,0.0,1.0,0.4648792048295339,nan
fitness_launch,1.0,nan,nan,nan,0.0,1.0,0.55694979429245,nan
education_space,1.0,nan,nan,nan,0.0,1.0,0.5146310130755106,nan
skincare_lumina,1.0,nan,nan,nan,0.0,1.0,0.5001785655816396,nan
jazz_blue_note,1.0,nan,nan,nan,0.0,1.0,0.4550035297870636,nan
farmers_market,1.0,nan,nan,nan,0.0,1.0,0.5637449224789938,nan
architecture_lecture,1.0,nan,nan,nan,0.0,1.0,0.4177906314531962,nan
bike_commute,1.0,nan,nan,nan,0.0,1.0,0.6129754781723022,nan
tea_ceremony,1.0,nan,nan,nan,0.0,1.0,0.5030191342035929,nan
album_static,1.0,nan,nan,nan,0.0,1.0,0.40352774659792584,nan
climate_workshop,1.0,nan,nan,nan,0.0,1.0,0.43027732769648236,nan
game_launch,1.0,nan,nan,nan,0.0,1.0,0.6069537798563639,nan
fashion_atelier,1.0,nan,nan,nan,0.0,1.0,0.47597140073776245,nan
photo_exhibit,1.0,nan,nan,nan,0.0,1.0,0.7054325143496195,nan
charity_run,1.0,nan,nan,nan,0.0,1.0,0.6351594924926758,nan
boardgame_night,1.0,nan,nan,nan,0.0,1.0,0.5598916808764139,nan
cookbook_cover,1.0,nan,nan,nan,0.0,1.0,0.5040270586808523,nan
