target,predicted,count
classic_travel,classic_travel,242
cinematic,cinematic,31
cinematic,modern_minimal,1698
cinematic,playful_social,24
premium_ad,premium_ad,634
bauhaus,bauhaus,889
neon,neon,271
neon,luxury_fashion,1
neon,retro_pop,169
tech,tech,86
sport,sport,915
editorial_serif,editorial_serif,354
editorial_serif,clean_corporate,1
modern_minimal,cinematic,54
modern_minimal,modern_minimal,5862
modern_minimal,playful_social,47
playful_social,cinematic,7
playful_social,modern_minimal,934
playful_social,playful_social,45
clean_corporate,clean_corporate,334
organic_market,organic_market,887
luxury_fashion,luxury_fashion,517
retro_pop,neon,231
retro_pop,sport,1
retro_pop,retro_pop,435
script_invite,script_invite,289
brutalist_type,modern_minimal,2
brutalist_type,brutalist_type,40
